price,volume,type
207100.00000001,0.0221,sell
207165.0,0.328,sell
207273.0,0.328,sell
207352.0,0.499,sell
207550.99,0.017,sell
207634.97690286,0.56602438,sell
207634.98224142,0.56602438,sell
207634.98757,0.245,sell
207638.33,0.183,sell
207638.34,9.99e-06,sell
207648.34,9.99e-06,sell
207658.34,9.99e-06,sell
207668.34,9.99e-06,sell
207678.34,9.99e-06,sell
207688.34,9.99e-06,sell
207698.34,9.99e-06,sell
207708.34,9.99e-06,sell
207718.34,9.99e-06,sell
207728.34,9.99e-06,sell
207733.91,0.001,sell
207738.34,9.99e-06,sell
207748.34,9.99e-06,sell
207758.34,9.99e-06,sell
207768.34,9.99e-06,sell
207778.34,9.99e-06,sell
207788.34,9.99e-06,sell
207798.34,9.99e-06,sell
207808.34,9.99e-06,sell
207818.34,9.99e-06,sell
207828.34,9.99e-06,sell
207838.34,9.99e-06,sell
207848.34,9.99e-06,sell
207858.34,9.99e-06,sell
207868.34,9.99e-06,sell
207878.34,9.99e-06,sell
207888.34,9.99e-06,sell
207898.34,9.99e-06,sell
207908.34,9.99e-06,sell
207918.34,9.99e-06,sell
207928.34,9.99e-06,sell
207938.34,9.99e-06,sell
207948.34,9.99e-06,sell
207958.34,9.99e-06,sell
207968.34,9.99e-06,sell
207978.34,9.99e-06,sell
207988.34,9.99e-06,sell
207998.34,9.99e-06,sell
208000.0,0.0002404,sell
208008.34,9.99e-06,sell
208018.34,9.99e-06,sell
208464.67,0.03741098,sell
208468.0,1.668,sell
209000.0,0.000957,sell
209001.31,0.01218085,sell
209533.0,1.012,sell
209853.99,0.02605126,sell
210000.0,0.01606483,sell
210599.9,0.04075849,sell
210935.74153,2.949e-05,sell
210987.45,0.00273671,sell
211193.0,0.687,sell
212000.0,0.00485428,sell
212200.0,0.38804378,sell
212226.0,0.328,sell
212248.0,1.045e-05,sell
213000.0,0.04442753,sell
213558.2,0.00025079,sell
214000.0,0.01911658,sell
214309.0,1.045e-05,sell
214500.0,0.1,sell
214997.0,0.25806702,sell
215000.0,0.30759009,sell
215034.45,0.00096026,sell
215154.45636,2.937e-05,sell
215656.0,0.0001,sell
216000.0,0.14690797,sell
216369.0,1.045e-05,sell
216372.0,1.026e-05,sell
216506.0,2.05e-05,sell
217000.0,0.00539476,sell
217019.53564,0.00851555,sell
217019.61849,0.00011802,sell
217500.0,0.0967384,sell
217899.0,0.007,sell
218000.0,0.22078486,sell
218000.01,0.0024,sell
218003.84,0.00025346,sell
218014.93,0.10507572,sell
218200.0,0.01192775,sell
218299.0,0.004,sell
218333.33,0.001,sell
218361.21,0.03133,sell
218430.0,1.045e-05,sell
218472.0,1.026e-05,sell
218608.0,2.05e-05,sell
218800.0,0.0109835,sell
218906.0,0.00604326,sell
219000.0,0.03206927,sell
219000.11,3.523e-05,sell
219039.0,9.714e-05,sell
219200.0,0.0006,sell
219254.11,0.001,sell
219300.0,0.00045794,sell
219499.0,0.02243156,sell
219500.0,0.01056497,sell
219899.99,0.00398921,sell
219999.0,0.05,sell
220000.0,2.15274442,sell
220000.83,0.027083,sell
220291.77,0.02603656,sell
220352.01,9.268e-05,sell
220499.0,0.00515933,sell
220573.0,1.026e-05,sell
220710.0,1.025e-05,sell
220777.77,0.00057604,sell
220823.25,7.65e-06,sell
220966.32681,0.01677088,sell
220986.53,0.00079,sell
220998.0,0.0007,sell
221000.0,0.68339897,sell
221000.01,9.82e-06,sell
221100.01,1e-05,sell
221184.0,3.096e-05,sell
221200.01,1e-05,sell
221300.01,1e-05,sell
221400.01,1e-05,sell
221420.0,0.00256421,sell
221500.01,1e-05,sell
221574.59,0.00022725,sell
221585.39,0.0002615,sell
221599.9999,4.6e-06,sell
221600.0,0.002601,sell
221671.32,2.888e-05,sell
221699.9999,4.6e-06,sell
221700.0,0.02200108,sell
221771.32,2.888e-05,sell
221777.74,0.00067573,sell
221799.9999,4.6e-06,sell
221871.32,2.888e-05,sell
221899.9999,4.6e-06,sell
221900.89,0.00051709,sell
221971.32,2.888e-05,sell
221987.65,0.023,sell
221998.0,0.0008,sell
221999.9999,4.6e-06,sell
222000.0,0.31130998,sell
222045.55,0.00680168,sell
222071.32,5.776e-05,sell
222080.0,0.018,sell
222099.9999,4.6e-06,sell
222100.0,0.025,sell
222158.5,6e-05,sell
222199.9999,4.6e-06,sell
222200.0,0.00126678,sell
222222.22,0.06329259,sell
222298.0,0.01016486,sell
222299.9999,4.6e-06,sell
222399.9999,4.55e-06,sell
222499.9999,4.55e-06,sell
222500.0,0.23563732,sell
222550.0,3.18e-05,sell
222555.55,0.00016637,sell
222599.0,0.00573695,sell
222599.9999,4.55e-06,sell
222699.9999,4.55e-06,sell
222709.83,0.00060476,sell
222767.79,0.00017544,sell
222799.9999,4.55e-06,sell
222899.9999,4.55e-06,sell
222900.0,2.493e-05,sell
222980.50023,2.789e-05,sell
222998.0,0.0008,sell
222999.9999,4.55e-06,sell
223000.0,0.22891652,sell
223044.56,0.00536851,sell
223084.57,0.00015487,sell
223099.9999,4.55e-06,sell
223199.9999,4.55e-06,sell
223279.99,9.272e-05,sell
223299.9999,4.55e-06,sell
223300.0,0.0017475,sell
223333.33,0.00010763,sell
223345.5432,0.00144127,sell
223399.9999,4.55e-06,sell
223499.9999,4.55e-06,sell
223500.0,0.0029934,sell
223582.0,0.0038,sell
223585.0,0.00460309,sell
223599.9999,4.55e-06,sell
223646.29669,2.826e-05,sell
223699.9999,4.55e-06,sell
223700.11,0.00010302,sell
223734.0885,2.874e-05,sell
223775.0,0.00453219,sell
223799.9999,4.55e-06,sell
223800.08,0.00099,sell
223861.94879,2.921e-05,sell
223899.9999,4.55e-06,sell
223999.9999,4.52e-06,sell
224000.0,0.09730838,sell
224017.0,0.05,sell
224099.9999,4.52e-06,sell
224199.9999,4.52e-06,sell
224212.15,0.0015,sell
